incubation,time,total_C_umol,delta_13C,Fract13_CO2,perc_13C,D13C_CO2_perc,excess_13CO2_umol,excess_13C_kill_umol,Net_excess_13C_umol
PE,336,365.14482967486515,162.56,0.01283020410426208,1.283020410426208,0.18912092299196503,0.6905652721385437,0.4521932263648604,0.23837204577368326
PE,336,390.16401244888374,157.08,0.012770498256040843,1.2770498256040843,0.1831503381698414,0.7145867082171526,0.4521932263648604,0.2623934818522922
PE,336,361.0876649007,159.73,0.012799371511431014,1.2799371511431015,0.18603766370885855,0.6717590557221343,0.4521932263648604,0.21956582935727392
PE,360,362.48510353420585,159.62,0.012798173032540747,1.2798173032540747,0.1859178158198318,0.6739243871630515,0.4515098315895244,0.22241455557352707
PE,360,361.15974666570787,161.73,0.012821161529283117,1.2821161529283116,0.18821666549406868,0.6797628322810213,0.4515098315895244,0.2282530006914969
PE,360,352.5449270204708,161.3,0.012816476756619474,1.2816476756619475,0.18774818822770456,0.6618967131696173,0.4515098315895244,0.2103868815800929
PE,360,384.353491864423,155.68,0.012755243778897819,1.2755243778897818,0.18162489045553887,0.6980816085607968,0.4515098315895244,0.24657177697127242
PE,360,364.4731388369529,158.9,0.012790328371581321,1.279032837158132,0.18513334972388917,0.6747613307726522,0.4515098315895244,0.2232514991831278
PE,384,375.52471119837685,158.21,0.012782810454505158,1.2782810454505158,0.18438155801627287,0.6923983132436764,0.4508264368141883,0.24157187642948807
PE,384,385.9198589132109,157.18,0.01277158784351239,1.2771587843512389,0.18325929691699594,0.7072340201074129,0.4508264368141883,0.25640758329322455
PE,384,378.7731948592625,158.27,0.012783464190970295,1.2783464190970295,0.18444693166278658,0.6986355358790174,0.4508264368141883,0.24780909906482906
PE,384,396.3150066280448,155.96,0.012758294712039781,1.2758294712039782,0.18192998376973524,0.721015827235427,0.4508264368141883,0.2701893904212387
PE,384,372.27622753749125,157.67,0.012776926787357194,1.2776926787357195,0.18379319130147653,0.6842183590479014,0.4508264368141883,0.23339192223371308
PE,408,393.80071752159665,157.7,0.012777253659594175,1.2777253659594174,0.1838258785251745,0.7239076286225159,0.4501430420388523,0.2737645865836636
PE,408,372.1353058780137,159.18,0.012793379087880037,1.2793379087880037,0.18543842135376076,0.6900818365201775,0.4501430420388523,0.2399387944813252
PE,408,367.03756196187663,160.79,0.012810920340701228,1.2810920340701228,0.18719254663587992,0.6870669593466826,0.4501430420388523,0.2369239173078303
PE,408,391.88906355304533,156.42,0.012763306918407824,1.2763306918407824,0.18243120440653948,0.7149279385773295,0.4501430420388523,0.2647848965384772
PE,408,377.8702677836681,129.58,0.01247077039939212,1.247077039939212,0.153177552504969,0.5788124278349952,0.4501430420388523,0.1286693857961429
PE,432,345.11786964564664,142.08,0.012607032892827377,1.2607032892827377,0.16680380184849475,0.5756697274274708,0.4494596472635163,0.12621008016395452
PE,432,343.86744258171325,147.89,0.01267035489950101,1.267035489950101,0.17313600251585815,0.5953583440394921,0.4494596472635163,0.14589869677597578
PE,432,323.2353960268104,152.44,0.012719938752364525,1.2719938752364526,0.17809438780220965,0.5756640997139959,0.4494596472635163,0.12620445245047962
PE,432,335.7396666661454,147.4,0.012665014802900379,1.2665014802900378,0.17260199285579492,0.5794933554731699,0.4494596472635163,0.13003370820965365
PE,432,372.00205152021704,143.03,0.012617387304796987,1.2617387304796988,0.16783924304545583,0.6243654273850989,0.4494596472635163,0.17490578012158264
PE,504,363.35909598523364,154.3,0.012740206761485138,1.2740206761485138,0.18012118871427085,0.6544867229900312,0.44740946293750816,0.20707726005252303
PE,504,378.7456375090383,162.14,0.012825628364133977,1.2825628364133976,0.1886633489791547,0.7145542038370013,0.44740946293750816,0.26714474089949314
PE,504,356.2576152819392,161.64,0.012820180999149089,1.282018099914909,0.18811861248066597,0.670186882725093,0.44740946293750816,0.2227774197875848
PE,504,383.47995797790134,157.4,0.0127739849274838,1.2773984927483801,0.1834990053141372,0.7036819084685203,0.44740946293750816,0.25627244553101214
PE,504,379.9292176262541,158.44,0.012785316439586365,1.2785316439586365,0.18463215652439358,0.7014715077696094,0.44740946293750816,0.25406204483210126
PE,552,361.72231618157923,158.68,0.012787931366976398,1.2787931366976397,0.1848936492633968,0.6688015905882043,0.4460426733868361,0.2227589172013682
PE,552,374.8654651107678,158.46,0.012785534350731303,1.2785534350731302,0.18465394763888732,0.6922038796619085,0.4460426733868361,0.24616120627507243
PE,552,354.29357983029877,153.98,0.01273671985144314,1.2736719851443141,0.1797724977100712,0.6369224176873531,0.4460426733868361,0.19087974430051702
PE,552,372.0082588218137,156.27,0.012761672508879876,1.2761672508879875,0.18226776345374462,0.6780511332177375,0.4460426733868361,0.23200845983090135
PE,552,362.86519869716085,157.82,0.01277856114637753,1.2778561146377532,0.18395662720351025,0.6675145808186129,0.4460426733868361,0.2214719074317768
PE,600,380.0908708134691,159.63,0.012798281985287378,1.2798281985287379,0.18592871109449494,0.7066980570913249,0.444675883836164,0.2620221732551609
PE,600,385.06298976306397,162.42,0.012828678862265923,1.2828678862265923,0.1889683987923494,0.7276473660972103,0.444675883836164,0.28297148226104624
PE,600,362.96468332042036,158.93,0.012790655234943762,1.2790655234943762,0.18516603606013327,0.6720873164026381,0.444675883836164,0.22741143256647406
PE,600,399.42688895078214,156.19,0.012760800821585535,1.2760800821585534,0.18218059472431047,0.7276782817793461,0.444675883836164,0.2830023979431821
PE,600,382.85315911879957,156.55,0.012764723402287957,1.2764723402287956,0.1825728527945527,0.6989859346172607,0.444675883836164,0.25431005078109664
PE,696,360.577472222908,155.89,0.012757531980522124,1.2757531980522123,0.1818537106179694,0.6557235128898361,0.4419423047348199,0.21378120815501622
PE,696,359.541330061348,158.76,0.012788803006361343,1.2788803006361342,0.1849808132018913,0.6650824761443777,0.4419423047348199,0.22314017140955777
PE,696,355.9148324958877,159.27,0.012794359671257508,1.2794359671257507,0.18553647969150777,0.6603518509127966,0.4419423047348199,0.2184095461779767
PE,696,371.9750360000688,155.4,0.012752192826898833,1.2752192826898834,0.18131979525564046,0.6744643736774197,0.4419423047348199,0.23252206894259986
PE,696,363.16782762680816,153.43,0.01273072666725987,1.273072666725987,0.17917317929174414,0.6506993429237133,0.4419423047348199,0.20875703818889346
