Sample_ID,incubation,Timepoint,time,inject_volume_ul,co2_area,HS_ml,T_C,pressure_bar,delta_pressure,delta_13C,CO2_ppm,CO2_HS_ml,CO2_mmol,CO2_umol
T8-2-PP,PP,T8,336,50,55.7,100,22,1,0,251.47,755.6416222111815,0.07556416222111816,0.0030791932530636907,3.0791932530636905
T8-3-PP,PP,T8,336,50,55.3,100,22,1,0,258.92,750.2151114592159,0.0750215111459216,0.0030570805546574873,3.057080554657487
T8-4-PP,PP,T8,336,50,58,100,22,1,0,262.05,786.8440590349824,0.07868440590349823,0.003206341268899354,3.206341268899354
T8-5-PP,PP,T8,336,50,55.8,100,22,1,0,242.86,756.9982498991727,0.07569982498991727,0.0030847214276652404,3.08472142766524
T9-1-PE,PE,T9,360,50,54.7,100,22,1,0,159.62,742.075345331268,0.0742075345331268,0.003023911507048184,3.023911507048184
T9-2-PE,PE,T9,360,50,54.5,100,22,1,0,161.73,739.3620899552852,0.07393620899552852,0.003012855157845083,3.012855157845083
T9-3-PE,PE,T9,360,50,53.2,100,22,1,0,161.3,721.7259300113977,0.07217259300113978,0.002940988888024925,2.940988888024925
T9-4-PE,PE,T9,360,50,58,100,22,1,0,155.68,786.8440590349824,0.07868440590349823,0.003206341268899354,3.206341268899354
T9-5-PE,PE,T9,360,50,55,100,22,1,0,158.9,746.1452283952419,0.0746145228395242,0.003040496030852836,3.040496030852836
T9-1-PP,PP,T9,360,50,56.3,100,22,1,0,262.92,763.7813883391294,0.07637813883391295,0.003112362300672994,3.112362300672994
T9-2-PP,PP,T9,360,50,57.7,100,22,1,0,256.66,782.7741759710084,0.07827741759710084,0.0031897567450947023,3.1897567450947024
T9-3-PP,PP,T9,360,50,55.3,100,22,1,0,260.45,750.2151114592159,0.0750215111459216,0.0030570805546574873,3.057080554657487
T9-4-PP,PP,T9,360,50,57.8,100,22,1,0,264.21,784.1308036589996,0.07841308036589997,0.003195284919696253,3.195284919696253
T9-5-PP,PP,T9,360,50,57.2,100,22,1,0,245.02,775.9910375310517,0.07759910375310518,0.0031621158720869496,3.1621158720869498
T10-1-PE,PE,T10,384,50,57.8,100,22,1,0,158.21,784.1308036589996,0.07841308036589997,0.003195284919696253,3.195284919696253
T10-2-PE,PE,T10,384,50,59.4,100,22,1,0,157.18,805.8368466668613,0.08058368466668614,0.003283735713321063,3.283735713321063
