Sample_ID,incubation,Timepoint,time,inject_volume_ul,co2_area,HS_ml,T_C,pressure_bar,delta_pressure,delta_13C,CO2_ppm,CO2_HS_ml,CO2_mmol,CO2_umol,mDIC,total_C_umol
T7-5-PP,PP,T7,264,50,53,100,22,1,0,218.85,719.012674635415,0.0719012674635415,0.0029299325388218236,2.9299325388218236,373.16237476649803,376.0923073053199
T8-1-PE,PE,T8,336,50,53.1,100,22,1,0,157.92,720.3693023234064,0.07203693023234065,0.0029354607134233746,2.9354607134233746,356.1236218001941,359.05908251361745
T8-2-PE,PE,T8,336,50,54.8,100,22,1,0,162.5,743.4319730192592,0.07434319730192593,0.0030294396816497346,3.0294396816497344,367.5249430254357,370.55438270708544
T8-3-PE,PE,T8,336,50,54,100,22,1,0,162.56,732.5789515153284,0.07325789515153285,0.0029852142848373294,2.9852142848373293,362.1596153900278,365.14482967486515
T8-4-PE,PE,T8,336,50,57.7,100,22,1,0,157.08,782.7741759710084,0.07827741759710084,0.0031897567450947023,3.1897567450947024,386.974255703789,390.16401244888374
T8-5-PE,PE,T8,336,50,53.4,100,22,1,0,159.73,724.4391853873803,0.07244391853873804,0.0029520452372280258,2.9520452372280257,358.13561966347197,361.0876649007
T8-1-PP,PP,T8,336,50,52.9,100,22,1,0,261.67,717.6560469474236,0.07176560469474237,0.002924404364220273,2.924404364220273,347.35078737976716,350.2751917439874
T8-2-PP,PP,T8,336,50,55.7,100,22,1,0,251.47,755.6416222111815,0.07556416222111816,0.0030791932530636907,3.0791932530636905,365.73608425431064,368.81527750737433
T8-3-PP,PP,T8,336,50,55.3,100,22,1,0,258.92,750.2151114592159,0.0750215111459216,0.0030570805546574873,3.057080554657487,363.1096132722329,366.16669382689037
T8-4-PP,PP,T8,336,50,58,100,22,1,0,262.05,786.8440590349824,0.07868440590349823,0.003206341268899354,3.206341268899354,380.8382924012569,384.04463367015626
T8-5-PP,PP,T8,336,50,55.8,100,22,1,0,242.86,756.9982498991727,0.07569982498991727,0.0030847214276652404,3.08472142766524,366.3927019998299,369.4774234274951
T9-1-PE,PE,T9,360,50,54.7,100,22,1,0,159.62,742.075345331268,0.0742075345331268,0.003023911507048184,3.023911507048184,359.46119202715767,362.48510353420585
T9-2-PE,PE,T9,360,50,54.5,100,22,1,0,161.73,739.3620899552852,0.07393620899552852,0.003012855157845083,3.012855157845083,358.1468915078628,361.15974666570787
T9-3-PE,PE,T9,360,50,53.2,100,22,1,0,161.3,721.7259300113977,0.07217259300113978,0.002940988888024925,2.940988888024925,349.6039381324459,352.5449270204708
T9-4-PE,PE,T9,360,50,58,100,22,1,0,155.68,786.8440590349824,0.07868440590349823,0.003206341268899354,3.206341268899354,381.14715059552367,384.353491864423
T9-5-PE,PE,T9,360,50,55,100,22,1,0,158.9,746.1452283952419,0.0746145228395242,0.003040496030852836,3.040496030852836,361.4326428061001,364.4731388369529
T9-1-PP,PP,T9,360,50,56.3,100,22,1,0,262.92,763.7813883391294,0.07637813883391295,0.003112362300672994,3.112362300672994,361.5516938223198,364.6640561229928
T9-2-PP,PP,T9,360,50,57.7,100,22,1,0,256.66,782.7741759710084,0.07827741759710084,0.0031897567450947023,3.1897567450947024,370.54232208788363,373.73207883297835
T9-3-PP,PP,T9,360,50,55.3,100,22,1,0,260.45,750.2151114592159,0.0750215111459216,0.0030570805546574873,3.057080554657487,355.12981648977404,358.18689704443153
T9-4-PP,PP,T9,360,50,57.8,100,22,1,0,264.21,784.1308036589996,0.07841308036589997,0.003195284919696253,3.195284919696253,371.1845098211382,374.3797947408344
T9-5-PP,PP,T9,360,50,57.2,100,22,1,0,245.02,775.9910375310517,0.07759910375310518,0.0031621158720869496,3.1621158720869498,367.3313834216109,370.4934992936978
T10-1-PE,PE,T10,384,50,57.8,100,22,1,0,158.21,784.1308036589996,0.07841308036589997,0.003195284919696253,3.195284919696253,372.3294262786806,375.52471119837685
T10-2-PE,PE,T10,384,50,59.4,100,22,1,0,157.18,805.8368466668613,0.08058368466668614,0.003283735713321063,3.283735713321063,382.6361231998898,385.9198589132109
T10-3-PE,PE,T10,384,50,58.3,100,22,1,0,158.27,790.9139420989565,0.07909139420989565,0.003222925792704006,3.222925792704006,375.5502690665585,378.7731948592625
T10-4-PE,PE,T10,384,50,61,100,22,1,0,155.96,827.5428896747229,0.08275428896747229,0.0033721865069458725,3.3721865069458725,392.9428201210989,396.3150066280448
T10-5-PE,PE,T10,384,50,57.3,100,22,1,0,157.67,777.3476652190429,0.0777347665219043,0.0031676440466884997,3.1676440466885,369.10858349080274,372.27622753749125
T10-1-PP,PP,T10,384,50,58,100,22,1,0,262.41,786.8440590349824,0.07868440590349823,0.003206341268899354,3.206341268899354,364.4594246782853,367.66576594718464
T10-2-PP,PP,T10,384,50,62.7,100,22,1,0,257.31,850.6055603705759,0.08506055603705759,0.003466165475172233,3.466165475172233,393.99320564359465,397.4593711187669
